"DSCAMT_HF","DSCAMT_TSP","FACT_ADRES","DSCAMT_SOX","YEAR","FACT_INDICT_NM","DSCAMT_HCL","FACT_CODE","DSCAMT_CO","DSCAMT_NH3","DSCAMT_NOX"
"S","S","S","S","S","S","S","S","S","S","S"
" ","2711","세종특별자치시  부강면 부강금호로 497","1764","2018","아세아제지㈜ 세종공장","277","170009","11568"," ","144018"
" ","0","세종특별자치시  연기면 세종로 1858-25"," ","2018","남한제지㈜조치원"," ","170053"," "," ","0"
" ","721","세종특별자치시  전의면 소정구길 40"," ","2018","㈜케이씨씨세종공장"," ","170054"," "," ","31722"
" ","1090","세종특별자치시  전동면 솔티로 341","5276","2018","(주)에코비트에너지 세종","334","170064","4818"," ","4497"
" "," ","세종특별자치시  금송로 625 (가람동)"," ","2018","한국중부발전㈜세종발전본부"," ","170301"," "," ","325381"
" ","43","세종특별자치시  전동면 심동로 354"," ","2018","세종특별자치시 생활폐기물종합처리시설","368","170716","6251"," ","7132"
" ","1294","세종특별자치시  조치원읍 번암공단1길 16"," ","2018","㈜쌍용씨앤비","14","170729","17716"," ","51464"
" ","392","세종특별자치시  장군면 장기로 836-11","4139","2018","세종그린파워㈜","3349","170737","9292"," ","34627"
"2018","2018","2018","2018","2018","2018","2018","2018","2018","2018","2018"
"17","17","17","17","17","17","17","17","17","17","17"
